@relation Folds5x2_pp-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ﻿AT numeric
@attribute V numeric
@attribute AP numeric
@attribute RH numeric
@attribute PE numeric

@data
0.184986,0.274199,0.444197,0.863941,0.797616
0.618414,0.589502,0.458055,0.652011,0.337616
0.791218,0.56121,0.352883,0.219169,0.245033
0.488952,0.432918,0.354615,0.686729,0.434834
0.283003,0.272242,0.599852,0.960322,0.585033
0.344476,0.245552,0.573125,0.791421,0.671523
0.574788,0.81726,0.378867,0.667828,0.292583
0.35864,0.291815,0.719871,0.708445,0.579338
0.833994,0.785587,0.429597,0.151072,0.112715
0.14051,0.228114,0.616432,0.744906,0.848344
0.749858,0.770641,0.333333,0.59437,0.199073
0.6,0.383808,0.526107,0.319839,0.412583
0.778754,0.795018,0.446919,0.47815,0.079338
0.17932,0.215836,0.399654,0.734182,0.8
0.428045,0.342349,0.605048,0.444906,0.528609
0.592351,0.690214,0.699084,0.46622,0.435364
0.462606,0.323843,0.493442,0.28874,0.549007
0.274221,0.342883,0.681762,0.810724,0.673113
0.230312,0.268683,0.643653,0.575737,0.708344
0.615581,0.280071,0.226677,0.167426,0.374834
0.370822,0.474911,0.549864,0.693968,0.590199
0.906232,0.704626,0.296709,0.319169,0.09298
0.667422,0.764235,0.451126,0.608981,0.284768
0.155241,0.279004,0.771344,0.852949,0.721192
0.332578,0.273132,0.649344,0.668633,0.621854
0.129745,0.181673,0.807721,0.692627,0.893113
0.703399,0.659786,0.468201,0.628686,0.243841
0.170822,0.285231,0.626578,0.889544,0.866225
0.566856,0.592527,0.465726,0.520241,0.422517
0.718414,0.748932,0.563722,0.314611,0.127285
0.328895,0.282384,0.031675,0.941421,0.643179
0.53711,0.56032,0.482801,0.778418,0.299205
0.183569,0.190747,0.680277,0.750268,0.834437
0.826346,0.748932,0.551596,0.265952,0.176556
0.854108,0.81726,0.383568,0.294236,0.169272
0.397167,0.487367,0.777283,0.43941,0.507815
0.587819,0.808363,0.320713,0.905228,0.197086
0.68272,0.89395,0.627073,0.497185,0.303841
0.182153,0.253559,0.621133,0.708579,0.763444
0.647309,0.62153,0.621381,0.455764,0.331126
