@relation bank32nh

@attribute a1cx numeric
@attribute a1cy numeric
@attribute a1sx numeric
@attribute a1sy numeric
@attribute a1rho numeric
@attribute a1pop numeric
@attribute a2cx numeric
@attribute a2cy numeric
@attribute a2sx numeric
@attribute a2sy numeric
@attribute a2rho numeric
@attribute a2pop numeric
@attribute a3cx numeric
@attribute a3cy numeric
@attribute a3sx numeric
@attribute a3sy numeric
@attribute a3rho numeric
@attribute a3pop numeric
@attribute temp numeric
@attribute b1x numeric
@attribute b1y numeric
@attribute b1call numeric
@attribute b1eff numeric
@attribute b2x numeric
@attribute b2y numeric
@attribute b2call numeric
@attribute b2eff numeric
@attribute b3x numeric
@attribute b3y numeric
@attribute b3call numeric
@attribute b3eff numeric
@attribute mxql numeric
@attribute rej numeric

@data
0.70646,0.803777,0.032262,0.045927,0.348762,0.056452,0.427867,0.9264,0.052007,0.127918,0.050783,0.148911,0.616028,0.338428,0.117506,0.045757,0.192511,0.092687,0.360369,0.720631,0.361511,0,0.983152,0.11151,0.107959,1,0.068881,0.00144,0.248921,0.5,0.446184,1,0.059924
0.198583,0.675345,0.041637,0.046792,0.3755,0.170193,0.789829,0.825744,0.013154,0.047082,0.216281,0.129492,0.557935,0.704619,0.319391,0.082374,0.841203,0.044408,0.676505,0.731179,0.669885,0.666667,0.199264,0.498658,0.459682,0,0.417019,0.008301,0.446207,0.5,0.457288,0.5,0.295949
0.338384,0.230722,0.155487,0.004466,0.69605,0.070658,0.162179,0.982047,0.018587,0.104658,0.995772,0.002054,0.418424,0.675188,0.166741,0.151815,0.043079,0.048064,0.663548,0.376183,0.659046,0.166667,0.051501,0.023527,0.214077,0.5,0.520282,0.885664,0.167098,0.5,0.349362,0.25,0
0.383055,0.031711,0.165962,0.246084,0.938517,0.175526,0.418237,0.038237,0.075373,0.008735,0.730214,0.117167,0.417477,0.506486,0.059038,0.145046,0.619965,0.392479,0.301356,0.127878,0.629215,0.333333,0.173331,0.400905,0.397296,0,0.006357,0.210251,0.740118,0.666667,0.712341,0.5,0.57224
0.701517,0.656717,0.079797,0.157387,0.753469,0.347893,0.656346,0.644268,0.054463,0.00814,0.794919,0.046514,0.664183,0.355545,0.00992,0.068719,0.648676,0.109117,0.221917,0.157165,0.120746,0.666667,0.446678,0.786876,0.657623,0,0.081249,0.432675,0.835061,0.166667,0.530561,1,0
0.49094,0.610412,0.003664,0.033703,0.027177,0.139277,0.102277,0.583037,0.053094,0.000989,0.361023,0.013908,0.918476,0.099289,0.33274,0.021058,0.196163,0.019101,0.561694,0.801467,0.113731,0.166667,0.375503,0.306206,0.372976,0.5,0.06509,0.184144,0.520918,0.166667,0.644598,0.5,0
0.672793,0.829264,0.0004,0.004705,0.748339,0.054653,0.658994,0.492541,0.109754,0.078443,0.775335,0.023875,0.334552,0.954157,0.194141,0.015601,0.708773,0.156985,0.408126,0.824663,0.505316,0.833333,0.267608,0.68433,0.431866,0.333333,0.24645,0.840438,0.356016,1,0.101887,1,0
0.595437,0.977329,0.081613,0.141755,0.964075,0.040686,0.342649,0.444642,0.139104,0.003424,0.033051,0.059968,0.324662,0.979248,0.032924,0.23424,0.964026,0.250598,0.592792,0.49414,0.932341,0.5,0.216497,0.307268,0.542892,0.833333,0.343679,0.379254,0.416514,0.833333,0.24054,0.75,0.28094
0.61969,0.30412,0.030801,0.333794,0.622473,0.226406,0.003801,0.132817,0.100611,0.099284,0.931138,0.020847,0.821666,0.525019,0.14309,0.002957,0.927936,0.048763,0.654976,0.834157,0.275999,0.333333,0.545315,0.661841,0.025192,0,0.314345,0.514555,0.692177,1,0.667221,1,0.050296
0.332359,0.299664,0.098111,0.076281,0.256784,0.278842,0.095591,0.497335,0.040733,0.182749,0.027843,0.011973,0.338121,0.537879,0.00269,0.031573,0.781137,0.047236,0.650494,0.598603,0.791829,0.166667,0.313631,0.05913,0.876314,0.333333,0.930124,0.738897,0.482143,0.166667,0.676744,0.25,0.036088
0.594107,0.919821,0.024669,0.009865,0.09589,0.070309,0.010096,0.976407,0.078056,0.002429,0.710955,0.155832,0.469495,0.991278,0.173992,0.105808,0.384535,0.063231,0.626796,0.437136,0.474169,0.166667,0.321912,0.575411,0.709066,0.333333,0.628956,0.257296,0.60986,0.333333,0.479775,0,0.064171
0.992148,0.645297,0.082648,0.206307,0.365099,0.189004,0.629765,0.533624,0.053731,0.007297,0.729697,0.254656,0.772134,0.846726,0.241965,0.099858,0.291352,0.034881,0.261308,0.817381,0.527279,0,0.632899,0.664468,0.452187,0.5,0.133649,0.10883,0.669381,0.166667,0.263433,0.25,0.382589
0.653069,0.800937,0.100628,0.010248,0.827219,0.365632,0.380067,0.903134,0.074241,0.046517,0.750602,0.013066,0.169168,0.248286,0.21073,0.019941,0.145944,0.070593,0.258882,0.740773,0.525133,0.833333,0.708571,0.728351,0.577758,0.833333,0.284599,0.518876,0.081278,0.833333,0.683944,0.75,0.001751
0.22529,0.59923,0.00422,0.17845,0.177233,0.160553,0.836622,0.484104,0.066243,0.111388,0.393326,0.20684,0.602927,0.018535,0.608042,0.053979,0.526352,0.041841,0.507786,0.731389,0.123884,0.5,0.088883,0.062312,0.06453,0,0.096248,0.314195,0.55954,0.5,0.799386,0.75,0.383967
0.341302,0.640332,0.04761,0.013588,0.425415,0.228041,0.056266,0.316975,0.003353,0.063746,0.440218,0.112225,0.314408,0.963981,0.069838,0.002871,0.858402,0.349598,0.307424,0.622345,0.580492,0.666667,0.419421,0.157362,0.95436,0.666667,0.174335,0.705473,0.499931,0.666667,0.782732,0.5,0.129526
0.644096,0.672991,0.029139,0.031649,0.734568,0.219493,0.614992,0.076915,0.092762,0.274152,0.75924,0.041115,0.571181,0.817573,0.04854,0.249636,0.640532,0.003573,0.188051,0.330029,0.901479,0.5,0.411946,0.074498,0.850435,0.666667,0.398108,0.986309,0.383312,0.333333,0.876347,0.5,0.08833
0.770026,0.929056,0.143853,0.038824,0.669079,0.092186,0.259922,0.520864,0.003928,0.150606,0.310074,0.161193,0.480272,0.63003,0.120786,0.05536,0.969033,0.023774,0.506078,0.257452,0.28833,0.833333,0.823967,0.670404,0.701748,0.166667,0.296633,0.921137,0.621238,0,0.073789,0.75,0.061806
0.496304,0.412471,0.059321,0.13414,0.878251,0.123201,0.206328,0.309972,0.031713,0.0333,0.24618,0.11821,0.279621,0.010003,0.052053,0.30086,0.692552,0.314911,0.230752,0.721909,0.108816,0.166667,0.177109,0.167532,0.194089,0,0.847961,0.342248,0.356789,0,0.522195,0,0.182329
0.803383,0.301297,0.086792,0.116299,0.651509,0.031801,0.539945,0.832064,0.207176,0.036109,0.808771,0.164431,0.996014,0.535498,0.121291,0.132633,0.306171,0.068375,0.189446,0.863468,0.222841,0,0.619288,0.786213,0.801096,0.166667,0.525022,0.004987,0.402402,0.166667,0.171456,1,0
0.33989,0.166571,0.048385,0.256722,0.351337,0.492413,0.644434,0.637716,0.043032,0.006497,0.298561,0.207148,0.703552,0.408404,0.224683,0.142206,0.536967,0.041204,0.426077,0.683848,0.71697,0.5,0.590592,0.750945,0.417236,0.666667,0.064729,0.723816,0.393117,0.166667,0.371566,0.75,0.509159
0.723389,0.870936,0.033945,0.245314,0.099235,0.012169,0.882155,0.660582,0.581948,0.150401,0.530002,0.078956,0.040342,0.044274,0.563535,0.06525,0.649697,0.005668,0.221922,0.865722,0.503238,0.166667,0.123876,0.281084,0.818885,0.333333,0.615263,0.813408,0.299831,0.333333,0.425359,0,0.052286
0.090057,0.796797,0.032228,0.076218,0.28877,0.224713,0.524272,0.646207,0.059914,0.042377,0.018447,0.022037,0.72628,0.3966,0.238079,0.033277,0.355087,0.541389,0.32595,0.635334,0.841061,0.333333,0.217897,0.102782,0.279595,0.833333,0.611969,0.558321,0.067519,0.166667,0.663547,0.75,0.425281
0.116754,0.668365,0.021771,0.053342,0.643529,0.048307,0.542331,0.875862,0.233773,0.003068,0.430989,0.046428,0.611293,0.115655,0.1196,0.08953,0.605976,0.040278,0.511543,0.814744,0.741444,0.666667,0.395151,0.519416,0.205833,0.166667,0.724415,0.371613,0.665189,0.666667,0.615786,0.5,0.051608
0.943647,0.589359,0.058557,0.054283,0.016476,0.073733,0.054719,0.137733,0.298757,0.086744,0.095273,0.049241,0.42338,0.415877,0.346199,0.050099,0.082127,0.061037,0.334074,0.692181,0.718344,0.333333,0.92209,0.90066,0.359739,0.5,0.459917,0.533813,0.36247,0,0.242879,0.5,0
0.779671,0.252856,0.265888,0.486432,0.22128,0.142397,0.845619,0.967904,0.220466,0.060759,0.588314,0.014047,0.128057,0.137382,0.126155,0.170936,0.031593,0.102054,0.551437,0.109993,0.199701,0,0.739987,0.289718,0.013377,0,0.81141,0.753842,0.340677,0.166667,0.434037,0,0.036244
0.027628,0.519116,0.087636,0.027283,0.329484,0.364251,0.052932,0.561346,0.005346,0.06758,0.997958,0.253419,0.786633,0.455645,0.312341,0.006307,0.17695,0.037927,0.610243,0.083389,0.372112,0,0.005818,0.849634,0.106928,0.166667,0.511114,0.022314,0.297868,0.166667,0.02803,0,0.393527
0.334425,0.169202,0.201212,0.331509,0.219721,0.084324,0.112324,0.676516,0.028303,0.079249,0.027249,0.091845,0.698154,0.908272,0.135128,0.001237,0.074725,0.068707,0.847714,0.108442,0.174597,1,0.099565,0.728726,0.086958,0,0.995992,0.102839,0.558151,1,0.398311,1,0.001915
0.507864,0.747982,0.023299,0.062608,0.721805,0.21366,0.150784,0.951871,0.046282,0.127878,0.33135,0.158048,0.522804,0.655239,0.008949,0.226594,0.938294,0.181903,0.473727,0.560458,0.048121,0.5,0.478127,0.509952,0.374837,0.5,0.990821,0.660528,0.266306,0.166667,0.801516,0.25,0.095906
0.844205,0.115601,0.002136,0.028989,0.65807,0.405175,0.084218,0.553094,0.21527,0.077594,0.854478,0.191979,0.580249,0.962838,0.126535,0.213459,0.103455,0.019858,0.572007,0.732868,0.964763,0.666667,0.126689,0.883864,0.792889,0.666667,0.508709,0.476128,0.282619,0.666667,0.925779,0.5,0.179296
