@relation bank8FM

@attribute a1cx numeric
@attribute a1cy numeric
@attribute b2x numeric
@attribute b2y numeric
@attribute a2pop numeric
@attribute a3pop numeric
@attribute temp numeric
@attribute mxql numeric
@attribute rej numeric

@data
0.160098128,0.985897238,0.514098727,0.338977199,0.026905364,0.034144982,0.67027225,1,0.000847602
0.908520499,0.459603819,0.094328207,0.00312414,0.031567858,0.082974605,0.404615217,1,0.160578264
0.191517704,0.684302952,0.872594916,0.415156382,0.278778953,0.075846537,0.89895865,0.666666667,0.299811907
0.767891967,0.668307089,0.569646559,0.848442183,0.039804229,0.03365758,0.807462922,0.333333333,0.018603625
0.020763703,0.229410388,0.382674293,0.709684134,0.012342153,0.006419675,0.881318458,0.666666667,0
0.370874412,0.421585766,0.130895388,0.691107409,0.055048966,0.204105398,0.852095242,1,0.273222123
0.931527385,0.278778054,0.981898425,0.094479719,0.006319334,0.089167325,0.614640078,0,0.049463829
0.992570391,0.019728065,0.648704437,0.221866979,0.159513835,0.157963793,0.478088674,0.666666667,0.446566774
0.356429227,0.876134311,0.459293959,0.472811876,0.078500958,0.044584724,0.840960976,1,0.019386411
0.847815521,0.421681771,0.151334166,0.516342695,0.022378455,0.107565934,0.387829146,1,0.141088396
0.532742685,0.51407076,0.032469825,0.105322146,0.03368807,0.270254178,0.821863381,1,0.375074009
0.176576479,0.378442436,0.500399535,0.252561004,0.249767616,0.098226433,0.752894433,1,0.369528446
0.123885159,0.722855034,0.296976837,0.114595498,0.114944279,0.00689616,0.317289547,0,0.025694816
0.048230955,0.152749248,0.849067869,0.535118556,0.282222093,0.237810182,0.832538306,1,0.570170879
0.654645681,0.160957692,0.92621258,0.025842702,0.011634877,0.021045017,0.457846959,0.333333333,0.00444368
0.310746481,0.29925316,0.343499884,0.484382802,0.189383584,0.035268875,0.875865631,0,0.14123548
0.354870099,0.922470813,0.21195644,0.506020624,0.210218837,0.281233579,0.614843289,0.666666667,0.672131209
0.763801632,0.879233479,0.495586116,0.823001756,0.023678931,0.179898572,0.649957506,1,0.182195863
0.103283469,0.907539007,0.434550806,0.902218019,0.408064891,0.012898481,0.716577885,1,0.351292531
0.450274923,0.704798059,0.069440041,0.117118226,0.084934031,0.09857128,0.68240352,0.333333333,0.107232915
