@relation dataset_2213_cpu_small-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute lread numeric
@attribute lwrite numeric
@attribute scall numeric
@attribute sread numeric
@attribute swrite numeric
@attribute fork numeric
@attribute exec numeric
@attribute rchar numeric
@attribute wchar numeric
@attribute runqsz numeric
@attribute freemem numeric
@attribute freeswap numeric
@attribute usr numeric

@data
0.003252,0.003478,0.074855,0.018261,0.019637,0.049702,0.01679,0.068002,0.196912,0.000354,0.540595,0.82555,0.909091
0.000542,0,0.166021,0.037462,0.017251,0.019881,0.020148,0.016953,0.023688,0.000709,0.006265,0.504608,0.888889
0.033604,0.133913,0.29853,0.04744,0.02918,0.069583,0.023506,0.194692,0.148439,0.001488,0.016789,0.586036,0.858586
0.00271,0,0.372416,0.047063,0.031198,0.049205,0.043318,0.207614,0.096363,0,0.014868,0.433582,0.818182
0.022764,0.095652,0.310078,0.045745,0.043494,0.129225,0.077233,0.077982,0.293147,0.00085,0.023054,0.451948,0.79798
0.00271,0.001739,0.127826,0.02372,0.014682,0.019881,0.030222,0.087048,0.058625,0.000425,0.186769,0.450565,0.929293
0.001626,0,0.042474,0.011107,0.007341,0.149105,0.050369,0.034511,0.0218,0,0.019546,0.805366,0.828283
0.003794,0.008696,0.099483,0.044051,0.020738,0.019881,0.010074,0.284265,0.372636,0.001347,0.206899,0.462323,0.909091
0.086179,0.069565,0.188469,0.055158,0.046798,0.049702,0.01679,0.095036,0.115521,0.000638,0.040177,0.476806,0.878788
0.000542,0,0.259448,0.049887,0.029914,0.049702,0.053727,0.157934,0.070652,0,0.043769,0.499364,0.868687
0.004878,0.005217,0.122497,0.018825,0.017067,0.059642,0.020148,0.103207,0.061199,0,0.046776,0.478614,0.878788
0.005962,0.003478,0.127422,0.013178,0.01982,0.019881,0.006716,0.030013,0.051269,0,0.048112,0.476271,0.939394
0.001084,0.001739,0.427406,0.075301,0.049,0.00994,0.003358,0.008839,0.085359,0.000532,0.008102,0.452499,0.848485
0.003252,0.003478,0.155927,0.021649,0.01927,0.029821,0.010074,0.015204,0.032781,0,0.095723,0.49538,0.929293
0.093225,0.196522,0.106428,0.031062,0.023307,0.029821,0.056917,0.103452,0.056747,0.263288,0.003091,0.000003,0
0.044444,0.076522,0.180313,0.028238,0.057992,0.029821,0.010074,0.038643,0.041036,0.00078,0.036084,0.588479,0.949495
0.020054,0.085217,0.368056,0.125565,0.082584,0.129225,0.013432,0.103668,0.121443,0.000142,0.019379,0.478709,0.818182
0.007046,0.02087,0.222061,0.085279,0.038172,0.029821,0.03358,0.258025,0.324403,0.00078,0.013782,0.465317,0.919192
0.013008,0.055652,0.025032,0.006589,0.00367,0.099404,0.03358,0.036185,0.018566,0.000071,0.307217,0.811037,0.838384
0.036314,0.156522,0.140585,0.023532,0.00991,0.059642,0.036938,0.015848,0.012255,0.000106,0.053375,0.454826,0.909091
0.00813,0.008696,0.136143,0.063441,0.037071,0.049702,0.01679,0.036008,0.051223,0.000354,0.004761,0.680813,0.888889
0.002168,0,0.150194,0.038215,0.035419,0.119284,0.013432,0.051933,0.026356,0.000106,0.089459,0.469489,0.89899
0.00542,0.006957,0.292716,0.03878,0.029547,0.059642,0.01679,0.078189,0.061475,0.000354,0.116188,0.494937,0.878788
0.005962,0.010435,0.355782,0.033697,0.028996,0.18837,0.083781,0.033786,0.035287,0.001205,0.069746,0.685199,0.767677
0.00271,0.006957,0.117813,0.011672,0.017434,0.00994,0.003358,0.016536,0.015833,0.000177,0.02155,0.453168,0.929293
0.004336,0.005217,0.309512,0.131024,0.043494,0.049702,0.013432,0.183488,0.09187,0.001984,0.008687,0.577412,0.838384
0.001084,0,0.028101,0.007907,0.005506,0.099404,0.03358,0.025824,0.040529,0,0.537755,0.82559,0.909091
0.00271,0,0.257671,0.07323,0.038906,0.099404,0.013432,0.052809,0.048646,0.001347,0.181674,0.693238,0.89899
0,0,0.024144,0.010542,0.006974,0.00994,0.003358,0.000537,0.008701,0.000709,0.047695,0.762907,0.989899
0.000542,0,0.200824,0.038592,0.034502,0.00994,0.003358,0.118285,0.036726,0.000638,0.017624,0.764782,0.909091
0.000542,0.001739,0.06896,0.015813,0.010094,0.029821,0.010074,0.036208,0.007122,0.000425,0.256432,0.761246,0.969697
0.003252,0.008696,0.141392,0.022967,0.017618,0.029821,0.013432,0.046962,0.030702,0.000425,0.015286,0.43797,0.929293
0.001626,0.003478,0.12928,0.023532,0.021105,0.029821,0.01679,0.026927,0.05669,0.00078,0.036585,0.473928,0.919192
0.00271,0,0.386951,0.094503,0.059277,0.099404,0.010074,0.065584,0.085297,0.000638,0.209238,0.733979,0.878788
0.007046,0.013913,0.342377,0.055346,0.033768,0.139165,0.050369,0.037893,0.038313,0.000425,0.05989,0.443078,0.838384
0.337127,0.944348,0.441134,0.089232,0.053221,0.059642,0.063801,0.065965,0.070537,0.000709,0.039425,0.473352,0.737374
0.015176,0.04,0.513243,0.075678,0.031198,0.208748,0.083949,0.179789,0.021986,0.000638,0.031908,0.445492,0.727273
0.006504,0.017391,0.135174,0.018072,0.01303,0.069583,0.013432,0.046712,0.013324,0.00078,0.038172,0.441264,0.909091
0.004336,0.003478,0.258398,0.093562,0.0657,0.207256,0.046676,0.327347,0.123558,0.000354,0.057802,0.495919,0.818182
0.001084,0.001739,0.011628,0.003012,0.00312,0.039761,0.013432,0.013566,0.011765,0.000071,0.587705,0.823024,0.969697
0.000542,0,0.094234,0.00433,0.004404,0.029821,0.070517,0.018782,0.00443,0.000425,0.378801,0.815418,0.979798
