@relation kin8nm-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute theta1 numeric
@attribute theta2 numeric
@attribute theta3 numeric
@attribute theta4 numeric
@attribute theta5 numeric
@attribute theta6 numeric
@attribute theta7 numeric
@attribute theta8 numeric
@attribute y numeric

@data
0.495165,0.614841,0.649412,0.917052,0.814541,0.491829,0.711428,0.519781,0.349954
0.614729,0.404059,0.700276,0.041443,0.263915,0.118918,0.169427,0.271234,0.188845
0.997608,0.087838,0.525133,0.956302,0.86583,0.088547,0.997602,0.201066,0.337528
0.56348,0.786874,0.068239,0.474379,0.189107,0.764171,0.227621,0.796248,0.320079
0.709993,0.53838,0.497202,0.706626,0.699558,0.294097,0.919632,0.213349,0.303205
0.981827,0.430857,0.655676,0.680583,0.94579,0.62148,0.97627,0.07671,0.172739
0.363359,0.450878,0.974821,0.130401,0.934533,0.646364,0.748376,0.372364,0.343549
0.514441,0.912971,0.513271,0.541236,0.751227,0.774187,0.072971,0.563142,0.759751
0.571981,0.680827,0.714506,0.963842,0.25347,0.584576,0.085325,0.45656,0.376776
0.581388,0.345144,0.670749,0.157889,0.333664,0.548367,0.67704,0.537697,0.528801
0.667346,0.985644,0.285567,0.366411,0.004503,0.133797,0.285418,0.143018,0.45068
0.259924,0.98943,0.919505,0.730537,0.38537,0.102128,0.194319,0.955619,0.378853
0.214499,0.613054,0.877594,0.409115,0.943872,0.957971,0.288204,0.681586,0.353394
0.816234,0.381815,0.525917,0.211109,0.70026,0.71306,0.99722,0.597328,0.415599
0.430409,0.265637,0.242697,0.514242,0.746259,0.469292,0.808199,0.584544,0.838861
0.346208,0.813539,0.44903,0.446305,0.769949,0.43016,0.36421,0.884326,0.6349
0.276499,0.662276,0.074311,0.041627,0.877571,0.893364,0.266696,0.39794,0.891352
0.770213,0.59577,0.546517,0.054806,0.501309,0.119642,0.564143,0.084948,0.406378
0.011037,0.910671,0.44746,0.466978,0.315491,0.258005,0.074157,0.738358,0.421948
0.477264,0.02445,0.690177,0.367011,0.600283,0.159257,0.00232,0.022863,0.412519
0.781301,0.508911,0.80206,0.824419,0.599096,0.899854,0.801053,0.079614,0.237367
0.357212,0.198376,0.096914,0.719964,0.65983,0.177756,0.290055,0.145972,0.772009
0.211369,0.453135,0.410572,0.774268,0.31079,0.74302,0.110384,0.559629,0.597348
0.215725,0.830589,0.751733,0.138202,0.609044,0.887014,0.787305,0.467987,0.300241
0.427019,0.191361,0.296527,0.6061,0.833365,0.434408,0.253078,0.445419,0.919395
0.37932,0.568426,0.117863,0.740547,0.611518,0.268178,0.723162,0.444229,0.681964
0.762686,0.370494,0.485722,0.578552,0.416653,0.097634,0.348713,0.444192,0.544432
0.526789,0.003362,0.725457,0.90637,0.65977,0.453432,0.838835,0.836107,0.383757
0.084793,0.121692,0.708724,0.565508,0.305109,0.925804,0.192563,0.614435,0.585271
0.998937,0.725933,0.500612,0.750224,0.134755,0.21528,0.787673,0.879316,0.38361
0.897497,0.383489,0.965536,0.169653,0.305013,0.260046,0.431583,0.252171,0.339165
0.122908,0.401806,0.474515,0.015629,0.528208,0.469131,0.440746,0.058052,0.706779
0.555664,0.212603,0.381888,0.257329,0.359407,0.726196,0.4367,0.046735,0.57298
0.365077,0.553404,0.689535,0.052006,0.623283,0.192782,0.433525,0.987183,0.08406
0.388326,0.917967,0.009418,0.440773,0.11895,0.214031,0.091521,0.759375,0.814634
0.117585,0.636438,0.960965,0.100829,0.697562,0.261475,0.803567,0.974138,0.460084
0.096975,0.37145,0.648858,0.703377,0.396169,0.480505,0.521598,0.686955,0.54263
0.726907,0.068219,0.385188,0.093152,0.425761,0.844087,0.118246,0.769524,0.39715
0.223811,0.083285,0.145058,0.733557,0.72599,0.121707,0.908573,0.418151,0.765882
0.311259,0.279738,0.524104,0.140742,0.138837,0.946796,0.132027,0.496066,0.543523
0.942245,0.787366,0.771801,0.279159,0.903022,0.940921,0.505639,0.998875,0.441254
0.140112,0.801083,0.565427,0.820435,0.21588,0.234734,0.942016,0.104515,0.084962
0.689953,0.319143,0.247863,0.775021,0.629552,0.149871,0.12824,0.330462,0.609806
0.189723,0.014145,0.258324,0.788188,0.480624,0.182856,0.863571,0.862356,0.670288
0.43619,0.331052,0.066615,0.001321,0.701283,0.433449,0.875585,0.43582,0.789912
0.507291,0.158915,0.219753,0.867251,0.92969,0.157719,0.771542,0.236638,0.712267
0.407359,0.287146,0.845766,0.328039,0.375261,0.059951,0.359983,0.188424,0.48908
0.979833,0.292112,0.610825,0.059127,0.055185,0.254147,0.228834,0.498956,0.127727
0.848572,0.735378,0.200857,0.079235,0.099265,0.343455,0.31326,0.535417,0.378457
0.901993,0.114179,0.275514,0.916427,0.873899,0.979825,0.066818,0.847351,0.798178
0.67878,0.472019,0.963637,0.532793,0.791662,0.935374,0.673177,0.435676,0.22546
0.414691,0.200439,0.55562,0.117123,0.770538,0.020395,0.368624,0.806564,0.171447
0.190377,0.128878,0.429021,0.450414,0.776039,0.604923,0.436837,0.470848,0.920619
0.431119,0.495456,0.811214,0.07636,0.234212,0.448059,0.737047,0.488113,0.44986
0.289712,0.066844,0.94309,0.603589,0.702831,0.647004,0.688022,0.443626,0.145734
0.833513,0.978413,0.247972,0.55895,0.94117,0.521563,0.828814,0.317523,0.547381
0.828206,0.473899,0.101448,0.571003,0.290253,0.747577,0.804414,0.565667,0.494489
0.631405,0.800025,0.610369,0.080409,0.480312,0.467367,0.769952,0.865822,0.468934
0.247572,0.550799,0.539965,0.626306,0.459609,0.089048,0.633133,0.638832,0.670908
0.637178,0.142978,0.327753,0.219105,0.548344,0.186648,0.444648,0.592881,0.525772
0.264225,0.455976,0.893554,0.850039,0.755603,0.15706,0.005634,0.891676,0.390373
0.501214,0.591442,0.746147,0.153095,0.798608,0.979626,0.498011,0.830248,0.555703
0.288822,0.172695,0.423775,0.816696,0.504188,0.579922,0.745536,0.213965,0.337108
0.867831,0.872254,0.641034,0.951277,0.710512,0.350714,0.345453,0.422414,0.575767
0.559708,0.402267,0.897104,0.049553,0.03623,0.957643,0.06035,0.096624,0.324359
0.311412,0.970248,0.410093,0.225893,0.557311,0.211544,0.985135,0.814983,0.665528
0.502875,0.255903,0.700963,0.904238,0.442567,0.480337,0.72732,0.848101,0.400961
0.199793,0.224929,0.056908,0.758341,0.14469,0.025328,0.217644,0.032654,0.81415
0.661688,0.692357,0.079868,0.535683,0.254401,0.497387,0.263256,0.503972,0.442382
0.174485,0.117592,0.937243,0.677307,0.981313,0.512774,0.767083,0.775269,0.264579
0.351989,0.82232,0.985829,0.097481,0.897481,0.058152,0.426404,0.906183,0.329214
0.449706,0.224379,0.524595,0.461725,0.085822,0.040109,0.413207,0.457906,0.560223
0.653089,0.454623,0.021133,0.106901,0.957283,0.845548,0.644738,0.147868,0.473698
0.653333,0.857097,0.839498,0.724593,0.08141,0.676023,0.46147,0.391611,0.084356
0.763813,0.681151,0.282119,0.532909,0.82482,0.130839,0.693043,0.798582,0.702109
0.462426,0.796912,0.97127,0.06998,1,0.388065,0.201184,0.416307,0.42386
0.422483,0.235737,0.840489,0.416989,0.939466,0.564604,0.664833,0.539374,0.36769
0.140949,0.322737,0.931185,0.494531,0.656666,0.966635,0.147582,0.301135,0.34297
0.756221,0.415184,0.176402,0.27764,0.144736,0.289454,0.891774,0.344684,0.470571
0.872562,0.047861,0.286756,0.303773,0.027333,0.612886,0.827243,0.711594,0.587213
0.081297,0.950501,0.898174,0.361896,0.047785,0.239041,0.396428,0.553333,0.458864
0.261528,0.38749,0.387794,0.88856,0.745901,0.50765,0.676741,0.73104,0.648848
0.168237,0.641075,0.944912,0.344681,0.74887,0.966482,0.2648,0.126837,0.110086
0.354742,0.282604,0.8632,0.654927,0.647919,0.72239,0.703294,0.211617,0.206374
0.713883,0.961594,0.621137,0.094627,0.147537,0.245221,0.474041,0.002363,0.245354
0.347797,0.819162,0.509725,0.509108,0.092174,0.359309,0.937583,0.801997,0.303207
0.995345,0.16242,0.125998,0.186709,0.716002,0.384598,0.625374,0.773409,0.777988
0.544338,0.193997,0.207054,0.579132,0.290327,0.320949,0.046137,0.660535,0.750946
0.022719,0.86678,0.438605,0.655651,0.731156,0.824911,0.145378,0.068327,0.537809
0.801917,0.403602,0.875863,0.240383,0.960501,0.905589,0.84831,0.596653,0.251206
0.827631,0.400553,0.423221,0.344779,0.1465,0.549251,0.429861,0.25167,0.402113
0.976626,0.1621,0.321367,0.308241,0.678329,0.974177,0.509643,0.640754,0.740807
0.943725,0.811572,0.567426,0.425558,0.191195,0.030619,0.218264,0.869348,0.484461
0.02154,0.594491,0.836843,0.467487,0.780335,0.390861,0.687427,0.859928,0.455472
0.995284,0.421738,0.665216,0.907089,0.428091,0.54422,0.840952,0.647445,0.155923
