@relation pollen-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute RIDGE numeric
@attribute NUB numeric
@attribute CRACK numeric
@attribute WEIGHT numeric
@attribute DENSITY numeric
@attribute OBSERVATION_NUMBER numeric

@data
0.46846,0.595062,0.590336,0.643021,0.465106,0
0.495226,0.531145,0.561316,0.478841,0.618281,0.00026
0.464515,0.2832,0.463453,0.608527,0.376598,0.00052
0.649718,0.293726,0.425428,0.549603,0.074783,0.00078
0.716781,0.371323,0.486461,0.274315,0.420136,0.00104
0.754393,0.393165,0.716036,0.274683,0.242068,0.0013
0.44034,0.624085,0.615041,0.572933,0.701965,0.00156
0.39484,0.462908,0.447119,0.504061,0.833213,0.00182
0.734548,0.608586,0.553487,0.216716,0.522644,0.00208
0.318965,0.575476,0.568418,0.686119,0.709396,0.002339
0.591882,0.397456,0.46575,0.474696,0.404332,0.002599
0.417912,0.614092,0.410665,0.689885,0.402302,0.002859
0.319352,0.411235,0.582929,0.706517,0.689798,0.003119
0.982697,0.54776,0.394813,0.049569,0.292058,0.003379
0.608024,0.496372,0.616859,0.436168,0.462011,0.003639
0.532744,0.400644,0.478179,0.506528,0.377886,0.003899
0.565977,0.445334,0.671937,0.560469,0.271042,0.004159
0.412631,0.733928,0.355272,0.50291,0.804391,0.004419
0.510014,0.65362,0.603339,0.460401,0.642877,0.004679
0.673177,0.546509,0.397429,0.249695,0.580104,0.004939
0.466352,0.597002,0.413542,0.47732,0.6315,0.005199
0.844605,0.580346,0.230104,0.203366,0.443282,0.005459
0.7166,0.53256,0.50173,0.27206,0.421764,0.005719
0.627386,0.488865,0.632156,0.427199,0.444649,0.005979
0.548929,0.841845,0.599903,0.341084,0.863322,0.006239
0.717137,0.523993,0.43888,0.280041,0.579187,0.006499
0.255871,0.316057,0.447579,0.70043,0.766799,0.006759
0.359757,0.373362,0.62649,0.654894,0.5674,0.007018
0.660433,0.210167,0.514477,0.433072,0.276019,0.007278
0.725924,0.3771,0.519023,0.332247,0.314912,0.007538
0.581179,0.36431,0.487789,0.438359,0.534309,0.007798
0.746237,0.683972,0.369289,0.26101,0.451027,0.008058
0.482776,0.506665,0.354656,0.44873,0.612746,0.008318
0.496833,0.464959,0.374635,0.528111,0.464049,0.008578
0.491894,0.261834,0.265223,0.490587,0.610214,0.008838
0.40241,0.444101,0.660662,0.525094,0.608646,0.009098
0.402806,0.524893,0.582918,0.629198,0.57752,0.009358
0.738441,0.297987,0.321906,0.200302,0.473409,0.009618
0.584675,0.553964,0.706237,0.42218,0.493596,0.009878
0.632148,0.896662,0.660106,0.392036,0.586989,0.010138
0.644452,0.620558,0.604403,0.366573,0.465534,0.010398
0.318956,0.622689,0.668221,0.71857,0.602661,0.010658
0.613562,0.705508,0.694804,0.350873,0.430805,0.010918
0.5434,0.591133,0.324895,0.472714,0.557617,0.011178
0.325722,0.445004,0.68101,0.717996,0.551396,0.011437
1,0.559477,0.394942,0,0.222881,0.011697
0.395216,0.419143,0.42121,0.46249,0.719301,0.011957
0.443258,0.443195,0.37902,0.542495,0.532729,0.012217
0.503675,0.543906,0.668887,0.442643,0.674977,0.012477
0.518282,0.506481,0.501694,0.501997,0.495163,0.012737
0.162625,0.403753,0.552314,0.842285,0.791163,0.012997
0.756823,0.242638,0.707321,0.268842,0.315576,0.013257
0.525915,0.600907,0.361261,0.454151,0.641183,0.013517
0.805666,0.452517,0.383578,0.078997,0.670123,0.013777
0.554154,0.521018,0.415219,0.54374,0.363243,0.014037
0.519477,0.511551,0.361052,0.536711,0.511237,0.014297
0.723129,0.307633,0.44493,0.218523,0.514005,0.014557
0.63972,0.461524,0.637725,0.414552,0.401556,0.014817
0.30841,0.331783,0.694423,0.691334,0.547537,0.015077
0.580839,0.51862,0.561339,0.428118,0.518187,0.015337
0.296967,0.246578,0.492754,0.734488,0.584675,0.015597
0.618767,0.268122,0.373449,0.341901,0.391336,0.015857
0.293402,0.415479,0.514291,0.710288,0.682866,0.016116
0.448102,0.335239,0.262524,0.445603,0.690763,0.016376
0.615388,0.428491,0.603256,0.397268,0.46938,0.016636
0.429691,0.547112,0.348793,0.463023,0.740444,0.016896
0.327674,0.427044,0.593619,0.703362,0.536536,0.017156
0.757376,0.493067,0.290218,0.150905,0.563633,0.017416
0.371513,0.347399,0.499778,0.635568,0.498612,0.017676
0.532914,0.761585,0.468852,0.454747,0.580999,0.017936
0.520227,0.250795,0.587247,0.490982,0.578201,0.018196
0.652156,0.638091,0.511945,0.460221,0.37882,0.018456
0.625607,0.389911,0.571768,0.390779,0.468367,0.018716
0.280865,0.605136,0.587711,0.701432,0.748529,0.018976
0.772614,0.374479,0.415169,0.157297,0.451066,0.019236
0.439391,0.394799,0.58419,0.612638,0.467603,0.019496
0.518083,0.377608,0.480577,0.582697,0.446011,0.019756
0.565071,0.697954,0.64058,0.426367,0.619766,0.020016
0.64522,0.682118,0.501192,0.391012,0.479189,0.020276
0.736756,0.674959,0.479513,0.307563,0.564694,0.020535
0.356047,0.332577,0.493259,0.653126,0.507928,0.020795
0.447384,0.3073,0.512278,0.544947,0.544175,0.021055
0.620076,0.188602,0.717379,0.43043,0.279564,0.021315
0.472546,0.376036,0.464522,0.537196,0.436961,0.021575
0.330867,0.425864,0.250162,0.619998,0.601635,0.021835
0.641908,0.571958,0.618416,0.404015,0.419935,0.022095
0.68504,0.58766,0.584191,0.377018,0.412461,0.022355
0.543925,0.694887,0.567229,0.516399,0.521103,0.022615
0.503959,0.184338,0.448139,0.505864,0.526067,0.022875
0.464909,0.133086,0.639692,0.593509,0.331837,0.023135
0.468247,0.220791,0.482949,0.471528,0.512944,0.023395
0.387257,0.589867,0.47416,0.487425,0.662404,0.023655
0.525696,0.504371,0.501759,0.504278,0.50963,0.023915
0.392887,0.364429,0.61481,0.593007,0.611061,0.024175
0.540497,0.734986,0.576576,0.383959,0.665041,0.024435
0.604533,0.687318,0.517306,0.386043,0.632064,0.024695
0.708256,0.663822,0.717796,0.303975,0.52384,0.024955
0.801736,0.414531,0.58955,0.297927,0.280956,0.025214
0.513615,0.492818,0.505205,0.497204,0.53981,0.025474
0.647811,0.514065,0.546609,0.334329,0.437633,0.025734
0.491039,0.240201,0.683719,0.578387,0.319583,0.025994
0.542863,0.65677,0.52722,0.501554,0.51624,0.026254
0.545514,0.668692,0.152716,0.382124,0.728674,0.026514
0.30082,0.533689,0.760568,0.755032,0.662937,0.026774
0.661465,0.342826,0.33742,0.369078,0.42451,0.027034
0.492293,0.436381,0.663547,0.575742,0.481224,0.027294
0.7305,0.739375,0.674756,0.367738,0.325651,0.027554
0.400501,0.609376,0.540278,0.605579,0.516493,0.027814
0.085369,0.393631,0.331932,0.809579,0.852063,0.028074
0.473564,0.50696,0.484538,0.512263,0.638782,0.028334
0.445766,0.22849,0.395425,0.521702,0.564816,0.028594
0.676036,0.270633,0.39362,0.233044,0.465263,0.028854
0.499021,0.430393,0.357559,0.404631,0.5546,0.029114
0.550802,0.410454,0.376452,0.433294,0.606905,0.029374
0.713733,0.535653,0.333686,0.275555,0.536483,0.029633
0.525219,0.282122,0.50582,0.419613,0.526805,0.029893
0.770349,0.434639,0.410024,0.22647,0.303317,0.030153
0.58985,0.422952,0.496464,0.426444,0.48438,0.030413
0.800718,0.419906,0.601447,0.256976,0.338477,0.030673
0.359656,0.562523,0.552952,0.686434,0.636709,0.030933
0.427516,0.252774,0.587446,0.661424,0.467511,0.031193
0.492729,0.595561,0.332249,0.459821,0.610428,0.031453
0.167772,0.618561,0.257115,0.717492,0.98142,0.031713
0.722814,0.331857,0.52093,0.338522,0.182905,0.031973
0.519292,0.640224,0.520244,0.427147,0.822953,0.032233
0.510948,0.480072,0.487875,0.579063,0.552178,0.032493
0.486734,0.395783,0.712051,0.540983,0.382998,0.032753
0.352896,0.445587,0.257649,0.583271,0.757269,0.033013
0.552073,0.565488,0.596229,0.398352,0.619508,0.033273
0.483521,0.471392,0.512039,0.481229,0.588595,0.033533
0.322673,0.347901,0.330731,0.707745,0.492085,0.033793
0.714942,0.458389,0.472583,0.261262,0.450027,0.034053
0.311082,0.64335,0.665078,0.688117,0.674532,0.034312
0.364482,0.415597,0.625974,0.665569,0.487039,0.034572
0.758107,0.434803,0.191619,0.187925,0.456894,0.034832
0.603249,0.649796,0.460018,0.437421,0.409999,0.035092
0.472217,0.541145,0.656311,0.484311,0.588517,0.035352
0.77962,0.416602,0.534672,0.328011,0.169023,0.035612
0.497164,0.595044,0.550877,0.520158,0.625572,0.035872
0.609848,0.663935,0.53673,0.348939,0.658065,0.036132
0.773491,0.478046,0.617859,0.258355,0.451773,0.036392
0.462378,0.622876,0.32151,0.513004,0.682923,0.036652
0.45867,0.593389,0.395765,0.50759,0.62342,0.036912
0.524915,0.446472,0.556957,0.574471,0.357372,0.037172
0.448254,0.43187,0.238699,0.510335,0.771632,0.037432
0.68411,0.562413,0.34803,0.386742,0.311987,0.037692
0.296777,0.466079,0.669079,0.716928,0.604015,0.037952
0.633868,0.361366,0.531343,0.438853,0.448473,0.038212
0.763643,0.484836,0.499893,0.258329,0.239156,0.038472
0.468484,0.417407,0.693796,0.703643,0.342319,0.038731
0.289422,0.372022,0.565212,0.734906,0.617107,0.038991
0.612168,0.405319,0.542342,0.398371,0.495608,0.039251
0.545561,0.344778,0.515444,0.519908,0.251886,0.039511
0.712899,0.688748,0.488657,0.264688,0.593865,0.039771
0.473322,0.614663,0.347028,0.538017,0.583614,0.040031
0.635332,0.44652,0.428873,0.381361,0.449604,0.040291
0.316906,0.650993,0.595372,0.610822,0.765659,0.040551
0.594784,0.532325,0.587099,0.407101,0.527163,0.040811
