@relation puma8NH-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute theta1 numeric
@attribute theta2 numeric
@attribute theta3 numeric
@attribute thetad1 numeric
@attribute thetad2 numeric
@attribute thetad3 numeric
@attribute tau1 numeric
@attribute tau2 numeric
@attribute thetadd3 numeric

@data
0.907912,0.484285,0.818722,0.878666,0.789364,0.905974,0.026675,0.38291,0.771328
0.444972,0.761468,0.782022,0.166172,0.028384,0.68509,0.227558,0.479147,0.88663
0.380976,0.322012,0.643228,0.908578,0.475659,0.940067,0.929605,0.303116,0.629978
0.815228,0.915158,0.830268,0.897305,0.015426,0.950797,0.249516,0.518863,0.701749
0.795822,0.803153,0.841082,0.603375,0.415054,0.635422,0.581018,0.843747,0.492836
0.208263,0.865815,0.16049,0.092114,0.459041,0.720925,0.407959,0.348716,0.757569
0.467945,0.819796,0.326303,0.382843,0.284461,0.36771,0.885267,0.132805,0.53819
0.723084,0.440893,0.112921,0.753223,0.665702,0.095779,0.269925,0.496414,0.657512
0.634245,0.496629,0.126307,0.690739,0.603952,0.548953,0.538545,0.011445,0.400699
0.540904,0.911594,0.96584,0.016531,0.258046,0.527487,0.824101,0.156472,0.278715
0.867254,0.22095,0.419408,0.894698,0.21018,0.272085,0.965265,0.602184,0.247587
0.01891,0.786815,0.46097,0.290743,0.498198,0.639846,0.935572,0.573019,0.792938
0.794224,0.954764,0.959662,0.189045,0.42314,0.50488,0.932111,0.393894,0.198632
0.571318,0.009113,0.866907,0.564614,0.00919,0.170426,0.661943,0.882428,0.403371
0.472171,0.839447,0.357187,0.340987,0.876353,0.517977,0.001483,0.986514,0.680274
0.02546,0.868293,0.774807,0.925476,0.454899,0.111988,0.641858,0.317152,0.678549
0.249634,0.111642,0.723386,0.876,0.977152,0.180818,0.294836,0.164252,0.379463
0.292698,0.808501,0.640585,0.501462,0.725057,0.406871,0.945619,0.416742,0.77759
0.877341,0.723629,0.315098,0.088292,0.21796,0.988384,0.865122,0.561189,0.662345
0.530943,0.519476,0.813128,0.865336,0.762283,0.890137,0.896347,0.34279,0.866969
0.099274,0.302085,0.986359,0.805378,0.156369,0.117814,0.558045,0.74003,0.883931
0.821476,0.918395,0.192396,0.240583,0.540936,0.737158,0.192967,0.128517,0.564016
0.036048,0.79816,0.980811,0.575791,0.849745,0.441418,0.486489,0.142033,0.853106
0.700584,0.33256,0.785414,0.178409,0.672356,0.905769,0.572686,0.810945,0.69294
0.316517,0.076046,0.928523,0.942924,0.671973,0.465417,0.784521,0.969366,0.421426
0.823833,0.525268,0.080653,0.54083,0.316253,0.542352,0.610806,0.464416,0.370576
0.070383,0.790834,0.945286,0.625076,0.108437,0.748846,0.608877,0.036976,0.852374
0.655038,0.937804,0.138235,0.129435,0.645535,0.240412,0.720303,0.702158,0.40299
0.479738,0.0064,0.313904,0.024018,0.078903,0.513929,0.988168,0.513808,0.323901
0.956782,0.739448,0.986458,0.464098,0.801518,0.132224,0.701611,0.559363,0.796548
0.420298,0.121699,0.625244,0.718739,0.152695,0.385108,0.239632,0.391215,0.143708
0.070764,0.197104,0.962504,0.942303,0.234316,0.804306,0.569436,0.183237,0.727353
0.892903,0.256449,0.584658,0.714138,0.819203,0.270561,0.353728,0.925904,0.446663
0.847569,0.409289,0.357672,0.492674,0.032425,0.575398,0.926178,0.694097,0.575621
0.562961,0.566308,0.30618,0.241643,0.347234,0.092655,0.776311,0.98392,0.514761
0.140771,0.666237,0.492248,0.875932,0.843668,0.352216,0.509663,0.617629,0.843228
0.780548,0.118092,0.045771,0.387222,0.871686,0.106871,0.658141,0.983162,0.633908
0.98451,0.705599,0.528393,0.246792,0.889748,0.594163,0.263215,0.743459,0.77491
0.801095,0.406891,0.078818,0.689124,0.461602,0.738974,0.700465,0.293628,0.371061
0.214735,0.640172,0.768367,0.727726,0.182048,0.588758,0.433488,0.394709,0.785348
0.737763,0.120335,0.708258,0.661324,0.271593,0.159076,0.93595,0.919007,0.118844
0.543179,0.135716,0.019039,0.192654,0.074071,0.327864,0.291228,0.53137,0.378264
0.405723,0.190041,0.337259,0.481292,0.760577,0.220434,0.013095,0.148463,0.308892
0.490738,0.873451,0.409216,0.626642,0.416456,0.183634,0.607959,0.605732,0.827334
0.856497,0.444917,0.68224,0.456338,0.394167,0.686639,0.262673,0.638297,0.826485
0.805932,0.701803,0.783439,0.984677,0.345245,0.676023,0.858474,0.847795,0.89387
0.515816,0.292293,0.541083,0.498364,0.653432,0.938063,0.252742,0.726963,0.57027
0.042941,0.626545,0.91239,0.844316,0.523141,0.748073,0.616252,0.971207,0.871966
0.667441,0.364869,0.3771,0.953652,0.949531,0.088564,0.029256,0.764387,0.258625
0.035907,0.429572,0.988431,0.627273,0.026345,0.411536,0.341903,0.205955,0.791527
0.42815,0.075916,0.750911,0.394851,0.069379,0.487315,0.759452,0.64114,0.112371
0.919688,0.371901,0.460491,0.237318,0.66733,0.451619,0.90467,0.22522,0.530895
0.925318,0.991258,0.829379,0.948208,0.475648,0.758473,0.384436,0.015195,0.719441
0.832811,0.407455,0.557785,0.155032,0.825258,0.011535,0.608984,0.83641,0.472655
0.249793,0.788173,0.255356,0.203306,0.088662,0.487451,0.038773,0.706571,0.570008
0.320792,0.926132,0.121696,0.199682,0.185151,0.729281,0.829547,0.681259,0.378263
0.241926,0.576102,0.77429,0.244356,0.951201,0.154984,0.163607,0.700879,0.874981
0.468224,0.521879,0.175524,0.728611,0.043158,0.907052,0.133157,0.949713,0.404112
0.047243,0.928777,0.541321,0.490077,0.397599,0.342867,0.414134,0.132023,0.922608
0.74936,0.01498,0.40602,0.921537,0.248837,0.79243,0.003915,0.865113,0.089618
0.976213,0.276835,0.946692,0.243559,0.555611,0.312966,0.939461,0.932174,0.306167
0.061532,0.054718,0.757346,0.528285,0.496267,0.201643,0.239657,0.815238,0.199255
0.087151,0.586103,0.733661,0.517462,0.600345,0.958583,0.081069,0.548802,0.898397
0.448054,0.55943,0.794448,0.986718,0.648181,0.696853,0.895971,0.037468,0.856249
