@relation 'space_ga -weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute ln(VOTES/POP) numeric
@attribute POP numeric
@attribute EDUCATION numeric
@attribute HOUSES numeric
@attribute INCOME numeric
@attribute XCOORD numeric
@attribute YCOORD numeric

@data
0.758755,0.50296,0.496014,0.535442,0.439126,0.663873,0.313077
0.762144,0.586474,0.582233,0.623187,0.52812,0.644211,0.233499
0.772832,0.480456,0.452436,0.508398,0.390437,0.685994,0.284441
0.765878,0.440198,0.401991,0.469144,0.353079,0.6553,0.33225
0.746492,0.518991,0.492605,0.557031,0.441075,0.665202,0.373689
0.896599,0.403378,0.36714,0.428034,0.295247,0.680187,0.294506
0.786748,0.469968,0.442813,0.496595,0.378683,0.663152,0.279757
0.689605,0.627312,0.608714,0.646634,0.56275,0.678282,0.365038
0.704767,0.524798,0.497083,0.555189,0.447271,0.68598,0.328803
0.736138,0.460775,0.428933,0.4922,0.380964,0.682166,0.382432
0.770924,0.502809,0.475865,0.540375,0.423081,0.662509,0.325843
0.804675,0.443312,0.414244,0.480879,0.3556,0.635185,0.291263
0.798711,0.488332,0.466802,0.522124,0.411315,0.642776,0.276618
0.808001,0.430219,0.406141,0.46115,0.334072,0.677678,0.34371
0.756256,0.423445,0.381731,0.456874,0.334675,0.683726,0.360666
0.745972,0.523778,0.514943,0.552411,0.455023,0.675394,0.265038
0.759486,0.55596,0.544817,0.589538,0.497533,0.643472,0.404366
0.789285,0.442058,0.408168,0.477536,0.346739,0.657664,0.266105
0.768305,0.413513,0.382319,0.446993,0.32289,0.670977,0.32966
0.752908,0.523202,0.494108,0.559381,0.441603,0.667199,0.258513
0.765549,0.434233,0.391708,0.461906,0.3317,0.669699,0.278888
0.754324,0.566893,0.540518,0.602171,0.495966,0.659892,0.380095
0.661525,0.541997,0.535248,0.545146,0.469102,0.682049,0.266017
0.756032,0.548153,0.531193,0.558463,0.468014,0.655607,0.304112
0.743964,0.554219,0.520236,0.591318,0.479875,0.678757,0.393932
0.7506,0.533727,0.525439,0.56367,0.46721,0.672762,0.31551
0.71852,0.522055,0.502708,0.550463,0.44281,0.654667,0.253823
0.757662,0.613571,0.60077,0.645644,0.556651,0.674527,0.376548
0.754731,0.460271,0.429713,0.492577,0.378771,0.644553,0.36315
0.766638,0.498259,0.470202,0.532998,0.42115,0.642641,0.392925
0.787177,0.482436,0.456849,0.516697,0.408371,0.678075,0.252031
0.826835,0.403682,0.363513,0.423214,0.287975,0.640741,0.326256
0.797443,0.436764,0.392536,0.460387,0.326945,0.646495,0.322081
0.781321,0.439818,0.410958,0.471276,0.350875,0.688628,0.269811
0.716422,0.581574,0.573642,0.608875,0.525319,0.687485,0.254425
0.677362,0.548451,0.523422,0.579594,0.478577,0.675165,0.407271
0.768645,0.783364,0.780797,0.805911,0.751761,0.659365,0.355672
0.770169,0.447547,0.416285,0.47709,0.362097,0.638176,0.36506
0.731437,0.591591,0.579733,0.6219,0.535631,0.646103,0.412649
0.705089,0.497033,0.463316,0.531418,0.414905,0.652062,0.396469
0.666076,0.590813,0.563956,0.596448,0.519922,0.686579,0.315402
0.695105,0.538092,0.517368,0.565584,0.47008,0.657869,0.40871
0.839574,0.414494,0.376484,0.436143,0.299746,0.663852,0.296856
0.724771,0.491783,0.468204,0.498716,0.386993,0.680632,0.306443
0.727759,0.670786,0.673531,0.691087,0.633088,0.66551,0.406589
0.798073,0.479646,0.456476,0.506631,0.395622,0.643581,0.300695
0.752264,0.502123,0.468297,0.535543,0.421468,0.641883,0.380214
0.698438,0.5729,0.552276,0.605863,0.501918,0.669673,0.38994
0.727419,0.723536,0.7154,0.746106,0.677825,0.636373,0.234741
0.813167,0.469732,0.451057,0.501296,0.389395,0.651304,0.271778
0.738621,0.669662,0.669288,0.687509,0.626447,0.671603,0.299674
0.726889,0.599325,0.593795,0.630842,0.547206,0.660061,0.393657
0.836714,0.433438,0.397169,0.448022,0.318632,0.652354,0.317151
0.786727,0.467956,0.436856,0.496389,0.37474,0.638394,0.344345
0.744858,0.49775,0.46231,0.512137,0.401623,0.676281,0.282039
0.751282,0.465193,0.429424,0.498262,0.366253,0.684803,0.344641
0.688158,0.540835,0.505011,0.55673,0.458996,0.689612,0.30233
0.737839,0.527775,0.50748,0.566697,0.460097,0.669581,0.362424
0.754949,0.570768,0.568408,0.604337,0.525754,0.66364,0.343628
0.83132,0.443831,0.411158,0.460362,0.350141,0.636456,0.315237
0.689994,0.578426,0.553794,0.604316,0.504798,0.672209,0.34857
0.750793,0.523768,0.502001,0.552299,0.448797,0.678777,0.326511
0.682943,0.64141,0.624364,0.650594,0.577621,0.64829,0.34452
0.731798,0.575619,0.54653,0.611627,0.507785,0.652321,0.366411
0.809892,0.442445,0.41544,0.481408,0.353846,0.636298,0.26503
0.893882,0.426872,0.390703,0.448663,0.31863,0.652085,0.289831
