@relation wind-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute year numeric
@attribute month numeric
@attribute day numeric
@attribute RPT numeric
@attribute VAL numeric
@attribute ROS numeric
@attribute KIL numeric
@attribute SHA numeric
@attribute BIR numeric
@attribute DUB numeric
@attribute CLA numeric
@attribute MUL numeric
@attribute CLO numeric
@attribute BEL numeric
@attribute MAL numeric

@data
0,0,0,0.409052,0.444813,0.360853,0.326423,0.369687,0.377294,0.450115,0.329794,0.41847,0.445154,0.434793,0.343205
0,0,0.033333,0.399658,0.502714,0.288497,0.228391,0.333868,0.293196,0.378663,0.323037,0.378284,0.341853,0.412071,0.314306
0,0,0.066667,0.507543,0.502714,0.334879,0.355938,0.295108,0.235856,0.370431,0.258687,0.328439,0.270856,0.298698,0.287557
0,0,0.1,0.282095,0.193607,0.316945,0.160928,0.117883,0.110092,0.284162,0.057593,0.22527,0.207313,0.126154,0.24385
0,0,0.133333,0.360376,0.393245,0.306741,0.216796,0.282812,0.313838,0.392493,0.210425,0.421947,0.365637,0.302722,0.266539
0,0,0.166667,0.35696,0.23854,0.261596,0.234364,0.14007,0.172018,0.351334,0.142214,0.277048,0.264821,0.189112,0.298543
0,0,0.2,0.365215,0.424608,0.247372,0.17428,0.325047,0.318425,0.301943,0.298906,0.29289,0.28115,0.327337,0.313351
0,0,0.233333,0.292912,0.287696,0.189239,0.20766,0.253675,0.27867,0.47053,0.245174,0.357419,0.369897,0.390296,0.37712
0,0,0.266667,0.339026,0.320265,0.262832,0.166901,0.273724,0.259557,0.264735,0.325933,0.301005,0.320909,0.305562,0.351087
0,0,0.3,0.361514,0.329011,0.556586,0.292691,0.256081,0.25,0.376029,0.250644,0.329985,0.318069,0.2,0.266539
0,0,0.333333,0.282095,0.291315,0.213976,0.098032,0.22935,0.277141,0.248271,0.268018,0.220634,0.306354,0.487101,0.388106
0,0,0.366667,0.543126,0.357961,0.525665,0.370344,0.271585,0.361621,0.511689,0.370013,0.400696,0.516152,0.365917,0.320516
0,0,0.4,0.263308,0.100422,0.215213,0.104006,0.057739,0.036697,0.152453,0.018662,0.090031,0.118211,0.121183,0.152138
0,0,0.433333,0.238258,0.164355,0.172542,0.023542,0.068966,0.052752,0.101416,0.083012,0.01932,0.093362,0.166627,0.107476
0,0,0.466667,0.323655,0.285283,0.316945,0.083275,0.193798,0.119648,0.082318,0.219755,0.183539,0.198438,0.175385,0.145211
0,0,0.5,0.448335,0.332931,0.438157,0.165495,0.299652,0.264526,0.304577,0.282819,0.317233,0.258786,0.305562,0.199904
0,0,0.533333,0.486194,0.427021,0.489487,0.355938,0.369687,0.511086,0.441883,0.355212,0.336553,0.402556,0.373728,0.368044
0,0,0.566667,0.545403,0.356755,0.596475,0.651441,0.366212,0.393349,0.587093,0.366152,0.566847,0.591764,0.20497,0.412945
0,0,0.6,0.120979,0.096803,0.179035,0.036543,0.094627,0.121177,0.12216,0.089768,0.074189,0.094782,0.159527,0.171005
0,0,0.633333,0.253914,0.350422,0.199753,0.055517,0.208233,0.191131,0.104379,0.158301,0.120943,0.118211,0.150769,0.146167
0,0,0.666667,0.388841,0.302774,0.322202,0.21539,0.264902,0.293196,0.264735,0.295045,0.272025,0.277955,0.156686,0.280631
0,0,0.7,0.253914,0.170989,0.260359,0.076247,0.180166,0.210245,0.308857,0.226512,0.244977,0.264821,0.254438,0.220922
0,0,0.733333,0.451751,0.294029,0.526902,0.367533,0.357391,0.484327,0.451103,0.442407,0.415379,0.466099,0.346982,0.475519
0,0,0.766667,0.693709,0.440893,0.752628,0.550597,0.570168,0.710245,0.671057,0.623552,0.593895,0.535321,0.543432,0.587055
0,0,0.8,0.368631,0.330519,0.345393,0.212228,0.263833,0.360092,0.304577,0.280245,0.275116,0.425985,0.329231,0.401958
0,0,0.833333,0.674637,0.560314,0.494743,0.500703,0.502005,0.599006,0.471847,0.487773,0.621329,0.675896,0.48213,0.587055
0,0,0.866667,0.608312,0.620627,0.49196,0.569571,0.50548,0.61659,0.552848,0.588481,0.72102,0.675896,0.614201,0.643898
0,0,0.9,0.483917,0.40199,0.365801,0.311665,0.398557,0.444572,0.403359,0.340412,0.460587,0.390486,0.477396,0.416766
0,0,0.933333,0.756618,0.714717,0.642857,0.616304,0.640203,0.753058,0.724399,0.651544,0.829212,0.70678,0.652781,0.542393
0,0,0.966667,0.328494,0.338058,0.29128,0.278285,0.346164,0.367737,0.477445,0.328507,0.383308,0.423145,0.443787,0.443754
